player_id,nom,nationalite,photo_url,equipe_id,equipe,logo_equipe_url,drapeau_url,match_id,date,buts,passes_decisives,xg,tirs,minutes
270774,Raúl Rangel,Mexico,https://media.api-sports.io/football/players/270774.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,90
127227,Israel Reyes,Mexico,https://media.api-sports.io/football/players/127227.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,1,90
2873,César Montes,Mexico,https://media.api-sports.io/football/players/2873.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,90
35544,Johan Vásquez,Mexico,https://media.api-sports.io/football/players/35544.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,90
2881,Jesús Gallardo,Mexico,https://media.api-sports.io/football/players/2881.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,1,90
266345,Erik Lira,Mexico,https://media.api-sports.io/football/players/266345.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,1,,0,76
2879,Roberto Alvarado,Mexico,https://media.api-sports.io/football/players/2879.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,1,,0,90
212233,Brian Gutiérrez,Mexico,https://media.api-sports.io/football/players/212233.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,2,66
750,Álvaro Fidalgo,Mexico,https://media.api-sports.io/football/players/750.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,66
35532,Julián Quiñones,Mexico,https://media.api-sports.io/football/players/35532.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,1,0,,4,79
2887,Raúl Jiménez,Mexico,https://media.api-sports.io/football/players/2887.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,1,0,,3,76
482605,Gilberto Mora,Mexico,https://media.api-sports.io/football/players/482605.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,24
35690,Luis Chávez,Mexico,https://media.api-sports.io/football/players/35690.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,24
2869,Edson Álvarez,Mexico,https://media.api-sports.io/football/players/2869.png,16,Mexico,https://media.api-sports.io/football/teams/16.png,,1489369,2026-06-11,0,0,,0,14
